observation_date,A091RC1Q027SBEA
01-01-1990,280.316
01-04-1990,285.016
01-07-1990,293.212
01-10-1990,297.64
01-01-1991,300.884
01-04-1991,304.124
01-07-1991,304.38
01-10-1991,308.044
01-01-1992,306.436
01-04-1992,307.912
01-07-1992,307.676
01-10-1992,305.524
01-01-1993,310.764
01-04-1993,311.852
01-07-1993,312.504
01-10-1993,310.636
01-01-1994,309.236
01-04-1994,316.624
01-07-1994,323.992
01-10-1994,333.508
01-01-1995,344.356
01-04-1995,352.04
01-07-1995,355.632
01-10-1995,357.276
01-01-1996,359.124
01-04-1996,357.216
01-07-1996,361.172
01-10-1996,362.44
01-01-1997,362.184
01-04-1997,364.768
01-07-1997,367.076
01-10-1997,368.372
01-01-1998,368.336
01-04-1998,367.648
01-07-1998,366.204
01-10-1998,360.088
01-01-1999,352.596
01-04-1999,352.141
01-07-1999,351.073
01-10-1999,352.925
01-01-2000,354.822
01-04-2000,354.109
01-07-2000,352.877
01-10-2000,353.105
01-01-2001,345.479
01-04-2001,334.776
01-07-2001,326.826
01-10-2001,317.821
01-01-2002,304.931
01-04-2002,301.958
01-07-2002,300.19
01-10-2002,298.006
01-01-2003,290.794
01-04-2003,290.322
01-07-2003,291.659
01-10-2003,294.108
01-01-2004,297.882
01-04-2004,299.661
01-07-2004,308.159
01-10-2004,318.386
01-01-2005,329.407
01-04-2005,343.582
01-07-2005,349.228
01-10-2005,355.282
01-01-2006,358.209
01-04-2006,367.415
01-07-2006,376.299
01-10-2006,386.925
01-01-2007,396.009
01-04-2007,407.914
01-07-2007,414.164
01-10-2007,413.825
01-01-2008,403.473
01-04-2008,388.351
01-07-2008,382.152
01-10-2008,379.614
01-01-2009,361.869
01-04-2009,352.134
01-07-2009,350.317
01-10-2009,353.811
01-01-2010,360.258
01-04-2010,376.93
01-07-2010,389.247
01-10-2010,399.514
01-01-2011,410.805
01-04-2011,424.987
01-07-2011,432.625
01-10-2011,433.35
01-01-2012,428.343
01-04-2012,424.345
01-07-2012,420.974
01-10-2012,416.834
01-01-2013,411.052
01-04-2013,412.508
01-07-2013,416.742
01-10-2013,425.001
01-01-2014,431.952
01-04-2014,440.027
01-07-2014,442.107
01-10-2014,442.283
01-01-2015,428.689
01-04-2015,425.877
01-07-2015,427.881
01-10-2015,434.682
01-01-2016,446.225
01-04-2016,453.291
01-07-2016,457.514
01-10-2016,460.184
01-01-2017,460.669
01-04-2017,471.214
01-07-2017,481.457
01-10-2017,493.441
01-01-2018,507.619
01-04-2018,531.778
01-07-2018,551.891
01-10-2018,571.229
01-01-2019,579.714
01-04-2019,586.409
01-07-2019,578.256
01-10-2019,564.241
01-01-2020,544.122
01-04-2020,514.737
01-07-2020,508.011
01-10-2020,516.711
01-01-2021,533.518
01-04-2021,560.634
01-07-2021,587.92
01-10-2021,612.282
01-01-2022,636.968
01-04-2022,684.758
01-07-2022,752.081
01-10-2022,823.106
01-01-2023,861.267
01-04-2023,894.106
01-07-2023,966.899
01-10-2023,1031.478
01-01-2024,1071.174
01-04-2024,1103.565
01-07-2024,1146.182
01-10-2024,1155.616
01-01-2025,1144.212
01-04-2025,1160.9
01-07-2025,1199.189
